fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Marc TARABELLA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,29579,Parti Socialiste,https://twitter.com/marctarabella,https://www.europarl.europa.eu/meps/en/29579,marctarabella,S&D,marctarabella
Annalisa TARDINO,Italy,Identity and Democracy Group,197806,Lega,https://twitter.com/tardinoannalisa,https://www.europarl.europa.eu/meps/en/197806,tardinoannalisa,ID,tardinoannalisa
Vera TAX,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197756,Partij van de Arbeid,NA,https://www.europarl.europa.eu/meps/en/197756,NA,S&D,NA
John David Edward TENNANT,United Kingdom,Non-attached Members,197705,The Brexit Party,NA,https://www.europarl.europa.eu/meps/en/197705,NA,"NA",NA
Cristian TERHEȘ,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197655,Partidul Social Democrat,NA,https://www.europarl.europa.eu/meps/en/197655,NA,S&D,NA
Hermann TERTSCH,Spain,European Conservatives and Reformists Group,197831,VOX,https://twitter.com/hermanntertsch,https://www.europarl.europa.eu/meps/en/197831,hermanntertsch,ECR,hermanntertsch
Barbara THALER,Austria,Group of the European People's Party (Christian Democrats),197667,Österreichische Volkspartei,NA,https://www.europarl.europa.eu/meps/en/197667,NA,EPP,NA
Róża THUN UND HOHENSTEIN,Poland,Group of the European People's Party (Christian Democrats),96776,Platforma Obywatelska,https://twitter.com/rozathun,https://www.europarl.europa.eu/meps/en/96776,rozathun,EPP,rozathun
Richard James TICE,United Kingdom,Non-attached Members,197599,The Brexit Party,https://twitter.com/TiceRichard,https://www.europarl.europa.eu/meps/en/197599,TiceRichard,"NA",ticerichard
Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197591,Partito Democratico,https://twitter.com/itinagli,https://www.europarl.europa.eu/meps/en/197591,itinagli,S&D,itinagli
Tomas TOBÉ,Sweden,Group of the European People's Party (Christian Democrats),197402,Moderaterna,NA,https://www.europarl.europa.eu/meps/en/197402,NA,EPP,NA
Grzegorz TOBISZOWSKI,Poland,European Conservatives and Reformists Group,197559,Prawo i Sprawiedliwość,NA,https://www.europarl.europa.eu/meps/en/197559,NA,ECR,NA
Patrizia TOIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28340,Partito Democratico,https://twitter.com/toiapatrizia,https://www.europarl.europa.eu/meps/en/28340,toiapatrizia,S&D,toiapatrizia
Irène TOLLERET,France,Renew Europe Group,197547,Liste Renaissance,NA,https://www.europarl.europa.eu/meps/en/197547,NA,RE,NA
Eugen TOMAC,Romania,Group of the European People's Party (Christian Democrats),197672,Partidul Mișcarea Populară,NA,https://www.europarl.europa.eu/meps/en/197672,NA,EPP,NA
Valdemar TOMAŠEVSKI,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,NA,https://www.europarl.europa.eu/meps/en/96697,NA,ECR,NA
Ruža TOMAŠIĆ,Croatia,European Conservatives and Reformists Group,119431,Hrvatska konzervativna stranka,https://twitter.com/ruzatomasic,https://www.europarl.europa.eu/meps/en/119431,ruzatomasic,ECR,ruzatomasic
Romana TOMC,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska demokratska stranka,https://twitter.com/RomanaTomc,https://www.europarl.europa.eu/meps/en/125104,RomanaTomc,EPP,romanatomc
Yana TOOM,Estonia,Renew Europe Group,124700,Eesti Keskerakond,https://twitter.com/yanatoom,https://www.europarl.europa.eu/meps/en/124700,yanatoom,RE,yanatoom
Nils TORVALDS,Finland,Renew Europe Group,114268,Svenska folkpartiet,https://twitter.com/nilstorvalds,https://www.europarl.europa.eu/meps/en/114268,nilstorvalds,RE,nilstorvalds
Evžen TOŠENOVSKÝ,Czechia,European Conservatives and Reformists Group,96713,Občanská demokratická strana,NA,https://www.europarl.europa.eu/meps/en/96713,NA,ECR,NA
Edina TÓTH,Hungary,Group of the European People's Party (Christian Democrats),27714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NA,https://www.europarl.europa.eu/meps/en/27714,NA,EPP,NA
Marie TOUSSAINT,France,Group of the Greens/European Free Alliance,97236,Europe Écologie,https://twitter.com/marietouss1,https://www.europarl.europa.eu/meps/en/97236,marietouss1,Greens–EFA,marietouss1
Isabella TOVAGLIERI,Italy,Identity and Democracy Group,197580,Lega,NA,https://www.europarl.europa.eu/meps/en/197580,NA,ID,NA
Professor Véronique TRILLET-LENOIR,France,Renew Europe Group,197593,Liste Renaissance,NA,https://www.europarl.europa.eu/meps/en/197593,NA,RE,NA
László TRÓCSÁNYI,Hungary,Group of the European People's Party (Christian Democrats),197894,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NA,https://www.europarl.europa.eu/meps/en/197894,NA,EPP,NA
